Waktu,PM10,PM2.5,SO2,CO,O3,NO2,HC,Critical Component
28 September 2022,20.8,0.0,13.6,16.5,14.6,12.7,12.7,PM10
29 September 2022,23.0,0.0,13.6,16.3,14.6,12.5,12.6,PM10
30 September 2022,17.2,0.0,13.4,16.2,14.6,12.4,12.6,PM10
01 Oktober 2022,23.0,0.0,13.4,16.0,14.8,12.3,12.5,PM10
02 Oktober 2022,20.1,0.0,12.7,15.2,15.2,11.3,12.0,PM10
03 Oktober 2022,21.5,0.0,13.1,16.0,14.8,12.3,12.4,PM10
04 Oktober 2022,20.1,0.0,13.2,16.3,14.6,12.5,12.6,PM10
05 Oktober 2022,19.3,0.0,13.4,16.5,14.6,12.7,12.7,PM10
06 Oktober 2022,15.0,0.0,13.6,16.3,14.6,12.5,12.6,PM10
07 Oktober 2022,18.6,0.0,13.4,16.2,14.6,12.4,12.5,PM10
08 Oktober 2022,16.5,0.0,13.2,15.8,14.8,12.2,12.4,PM10
09 Oktober 2022,14.3,0.0,12.7,15.2,15.0,11.3,11.9,PM10
10 Oktober 2022,17.2,0.0,12.9,16.0,14.8,12.2,12.4,PM10
11 Oktober 2022,17.9,0.0,13.2,16.2,14.6,12.4,12.5,PM10
12 Oktober 2022,19.3,0.0,13.4,16.3,14.6,12.5,12.6,PM10
13 Oktober 2022,17.2,0.0,13.4,16.2,14.6,12.5,12.6,PM10
14 Oktober 2022,19.3,0.0,13.4,16.0,14.6,12.4,12.5,PM10
15 Oktober 2022,18.6,0.0,13.2,15.8,14.8,12.2,12.4,PM10
16 Oktober 2022,15.0,0.0,12.5,15.0,15.0,11.3,11.8,PM10
17 Oktober 2022,18.6,0.0,12.9,15.8,14.8,12.1,12.2,PM10
18 Oktober 2022,17.9,0.0,13.2,16.2,14.6,12.4,12.5,PM10
19 Oktober 2022,18.6,0.0,13.2,16.3,14.6,12.5,12.5,PM10
20 Oktober 2022,18.6,0.0,13.4,16.2,14.6,12.4,12.5,PM10
21 Oktober 2022,15.0,0.0,13.2,16.0,14.6,12.4,12.5,PM10
22 Oktober 2022,17.2,0.0,13.2,15.8,14.8,12.2,12.4,PM10
23 Oktober 2022,15.0,0.0,12.7,15.0,15.0,11.2,11.8,PM10
24 Oktober 2022,18.6,0.0,12.9,15.8,14.8,12.1,12.3,PM10
25 Oktober 2022,19.3,0.0,13.1,16.2,14.6,12.4,12.4,PM10
26 Oktober 2022,17.2,0.0,13.2,16.2,14.6,12.4,12.5,PM10
27 Oktober 2022,19.3,0.0,13.2,16.2,14.6,12.4,12.4,PM10
28 Oktober 2022,17.9,0.0,13.1,15.8,14.6,12.2,12.4,PM10
29 Oktober 2022,15.0,0.0,13.1,15.7,14.8,12.1,12.2,PM10
30 Oktober 2022,23.0,0.0,12.5,15.0,15.0,11.2,11.8,PM10
31 Oktober 2022,24.4,0.0,12.9,15.8,14.8,12.1,12.2,PM10
01 November 2022,13.2,46.0,18.6,17.1,19.0,30.3,0.0,PM2.5
02 November 2022,16.5,50.1,18.8,17.6,19.3,31.7,0.0,PM2.5
03 November 2022,12.5,43.2,18.3,16.3,20.0,29.9,0.0,PM2.5
04 November 2022,15.4,54.7,19.1,17.2,17.3,32.3,0.0,PM2.5
05 November 2022,14.4,45.8,20.1,16.4,16.3,30.8,0.0,PM2.5
06 November 2022,12.7,40.4,17.8,14.2,21.6,26.5,0.0,PM2.5
07 November 2022,14.0,50.7,18.8,17.2,19.0,30.8,0.0,PM2.5
08 November 2022,11.0,36.5,21.3,16.3,18.6,30.3,0.0,PM2.5
09 November 2022,12.8,47.4,22.0,16.5,19.5,31.5,0.0,PM2.5
10 November 2022,15.7,56.7,21.6,17.2,18.6,31.2,0.0,PM2.5
11 November 2022,15.9,51.8,21.6,17.4,16.9,31.7,0.0,PM2.5
12 November 2022,12.8,41.9,23.4,15.9,18.3,29.2,0.0,PM2.5
13 November 2022,12.0,37.3,22.3,14.0,22.2,25.7,0.0,PM2.5
14 November 2022,10.6,40.6,21.5,15.4,19.0,28.6,0.0,PM2.5
15 November 2022,12.3,39.3,21.8,15.3,20.1,28.6,0.0,PM2.5
16 November 2022,14.0,43.2,23.2,15.9,18.4,30.1,0.0,PM2.5
17 November 2022,13.5,43.7,23.5,15.6,16.9,29.2,0.0,PM2.5
18 November 2022,15.1,51.4,24.4,17.1,16.1,30.8,0.0,PM2.5
19 November 2022,15.5,52.3,23.9,16.7,17.9,30.1,0.0,PM2.5
20 November 2022,14.1,44.7,22.3,15.0,20.3,27.1,0.0,PM2.5
21 November 2022,13.5,41.5,23.2,16.2,19.3,29.6,0.0,PM2.5
22 November 2022,14.5,47.4,25.6,16.6,18.1,31.2,0.0,PM2.5
23 November 2022,13.0,43.7,25.6,15.6,18.6,30.3,0.0,PM2.5
24 November 2022,11.2,35.6,23.7,14.6,18.4,28.0,0.0,PM2.5
25 November 2022,11.9,35.6,23.5,14.9,16.4,28.0,0.0,PM2.5
26 November 2022,11.0,36.5,23.0,15.6,16.3,28.0,0.0,PM2.5
27 November 2022,9.3,30.7,18.1,13.3,20.0,23.6,0.0,PM2.5
28 November 2022,11.0,38.1,19.0,15.2,17.3,28.0,0.0,PM2.5
29 November 2022,15.3,47.8,20.1,15.9,18.1,28.4,0.0,PM2.5
30 November 2022,14.8,44.2,21.5,15.3,17.4,27.6,0.0,PM2.5
01 Desember 2022,13.9,46.9,21.5,16.1,17.6,29.4,0.0,PM2.5
02 Desember 2022,12.7,40.6,22.5,16.1,18.4,29.8,0.0,PM2.5
03 Desember 2022,15.1,52.3,22.3,16.7,17.9,31.2,0.0,PM2.5
04 Desember 2022,14.6,47.8,18.8,14.8,22.6,27.1,0.0,PM2.5
05 Desember 2022,11.3,38.5,20.3,15.4,19.3,29.2,0.0,PM2.5
